
B721: ** 14.0%
B722: ** 14.0%
B723:  0.0%
B724:  0.0%
B725: ** 14.0%
B726: ***** 28.0%
B727: ** 14.0%
B728: ** 14.0%
B729: ** 14.0%
B730: ** 14.0%
B731: ** 14.0%
B732: ** 14.0%
B733: ***** 28.0%
B734:  0.0%
B735:  0.0%
B736: ** 14.0%
B737:  0.0%
B738: ***** 28.0%
B739: ** 14.0%
B740:  0.0%
B741: ** 14.0%
B742:  0.0%
B743:  0.0%
B744:  0.0%
B745: ** 14.0%
B746: ** 14.0%
B747: ** 14.0%
B748: ** 14.0%
B749: ** 14.0%
B750: ******** 42.0%
B751:  0.0%
B752:  0.0%
B753: ** 14.0%
B754: ***** 28.0%
B755: ** 14.0%
B756: ** 14.0%
B757: *********** 57.0%
B758: *********** 57.0%
B759: ***** 28.0%
B760:  0.0%
B761: ** 14.0%
B762: ** 14.0%
B763: ** 14.0%
B764: ***** 28.0%
B765: ***** 28.0%
B766: ** 14.0%
B767: ** 14.0%
B768: ***** 28.0%
B769:  0.0%
B770:  0.0%
B771: ** 14.0%
B772: ** 14.0%
B773: ******** 42.0%
B774: ** 14.0%
B775: ** 14.0%
B776: ** 14.0%
B777: ***** 28.0%
B778: ** 14.0%
B779: ** 14.0%
B780:  0.0%
B781: ** 14.0%
B782: ** 14.0%
B783:  0.0%
B784:  0.0%
B785:  0.0%
B786: ***** 28.0%
B787:  0.0%
B788: ** 14.0%
B789: ** 14.0%
B790: ******** 42.0%
B791: ***** 28.0%
B792: ***** 28.0%
B793: ***** 28.0%
B794:  0.0%
B795: ** 14.0%
B796:  0.0%
B797:  0.0%
B798: ** 14.0%
B799: ** 14.0%
B800: ** 14.0%
B801: ******** 42.0%
B802: ***** 28.0%
B803:  0.0%
B804:  0.0%
B805: ***** 28.0%
B806: ** 14.0%
B807: ** 14.0%
B808:  0.0%
B809:  0.0%
B810: ** 14.0%
B811: ** 14.0%
B812: ***** 28.0%
B813: ** 14.0%
B814: ** 14.0%
B815: ** 14.0%
B816: ** 14.0%
B817:  0.0%
B818: ******** 42.0%
B819:  0.0%
B820: ** 14.0%
B821:  0.0%
B822: ***** 28.0%
B823:  0.0%
B824: ** 14.0%
B825: ***** 28.0%
B826:  0.0%
B827: ***** 28.0%
B828: ** 14.0%
B829: ** 14.0%
B830: ** 14.0%
B831: ******** 42.0%
B832: ***** 28.0%
B833: ** 14.0%
B834: ** 14.0%
B835: ** 14.0%
B836: ******** 42.0%
B837: ***** 28.0%
B838:  0.0%
B839:  0.0%
B840: ******** 42.0%
B841: ******** 42.0%
B842:  0.0%
B843: ** 14.0%
B844: ******** 42.0%
B845: ** 14.0%
B846:  0.0%
B847: ** 14.0%
B848: ***** 28.0%
B849:  0.0%
B850: ** 14.0%
B851: ** 14.0%
B852: ******** 42.0%
B853: ***** 28.0%
B854: ** 14.0%
B855: ******** 42.0%
B856: ** 14.0%
B857: ** 14.0%
B858: ** 14.0%
B859: ** 14.0%
B860: ******** 42.0%
B861: *********** 57.0%
B862: ***** 28.0%
B863: ***** 28.0%
B864:  0.0%
B865: ** 14.0%
B866: ** 14.0%
B867: ***** 28.0%
B868:  0.0%
B869: ** 14.0%
B870: ** 14.0%
B871: ******** 42.0%
B872: ** 14.0%
B873: ** 14.0%
B874:  0.0%
B875: ***** 28.0%
B876: ************** 71.0%
B877: ** 14.0%
B878: ** 14.0%
B879: ** 14.0%
B880: *********** 57.0%
B881: *********** 57.0%
B882: ***** 28.0%
B883: ** 14.0%
B884: *********** 57.0%
